date,round,white_id,black_id,white_elo,black_elo,white_title,black_title,result
2019-09-15,2.4,24116068,4118987,2780.0,2635.0,GM,GM,1/2-1/2
2019-09-15,2.4,13402960,3503240,2632.0,2763.0,GM,GM,0-1
2019-09-15,2.4,1017063,4126025,2640.0,2759.0,GM,GM,0-1
2019-09-15,2.4,13400924,4189302,2758.0,2662.0,GM,GM,1-0
2019-09-15,2.4,8603820,5018471,2763.0,2639.0,GM,GM,1/2-1/2
2019-09-15,2.4,1512668,4135539,2558.0,2671.0,GM,GM,1/2-1/2
2019-09-15,2.4,4102142,24175439,2729.0,2624.0,GM,GM,1-0
2019-09-15,2.4,24604747,4152956,2620.0,2732.0,GM,GM,0-1
2019-09-15,2.4,2285525,8603405,2674.0,2721.0,GM,GM,0-1
2019-09-15,2.4,24131423,404853,2577.0,2682.0,GM,GM,0-1
2019-09-15,2.4,25092340,13402129,2610.0,2593.0,GM,GM,1/2-1/2
2019-09-15,2.4,2805677,4168003,2686.0,2716.0,GM,GM,1/2-1/2
2019-09-15,2.4,409561,4122356,2688.0,2681.0,GM,GM,0-1
2019-09-15,2.4,12521213,2047640,2642.0,2707.0,GM,GM,0-1
2019-09-15,2.5,24116068,4118987,2780.0,2635.0,GM,GM,1/2-1/2
2019-09-15,2.5,24131423,404853,2577.0,2682.0,GM,GM,1-0
2019-09-15,2.6,4118987,24116068,2635.0,2780.0,GM,GM,1/2-1/2
2019-09-15,2.6,404853,24131423,2682.0,2577.0,GM,GM,1-0
2019-09-15,2.7,4118987,24116068,2635.0,2780.0,GM,GM,0-1
2019-09-15,2.7,404853,24131423,2682.0,2577.0,GM,GM,0-1
2019-09-15,2.8,24116068,4118987,2780.0,2635.0,GM,GM,0-1
2019-09-15,2.8,24131423,404853,2577.0,2682.0,GM,GM,1-0
2019-09-15,2.9,4118987,24116068,2635.0,2780.0,GM,GM,0-1
2019-09-16,3.1,12573981,8603677,2702.0,2811.0,GM,GM,1/2-1/2
2019-09-16,3.1,24116068,2047640,2780.0,2707.0,GM,GM,1/2-1/2
2019-09-16,3.1,4122356,623539,2681.0,2774.0,GM,GM,1/2-1/2
2019-09-16,3.1,5202213,5029465,2767.0,2718.0,GM,GM,1-0
2019-09-16,3.1,4147235,4168119,2718.0,2776.0,GM,GM,1/2-1/2
2019-09-16,3.1,13300474,4168003,2758.0,2716.0,GM,GM,1/2-1/2
2019-09-16,3.1,13402129,13401319,2593.0,2767.0,GM,GM,0-1
2019-09-16,3.1,3503240,8602883,2763.0,2726.0,GM,GM,1/2-1/2
2019-09-16,3.1,8608288,4126025,2576.0,2759.0,GM,GM,0-1
2019-09-16,3.1,13400924,24131423,2758.0,2577.0,GM,GM,1-0
2019-09-16,3.1,12401137,24101605,2708.0,2746.0,GM,GM,1/2-1/2
2019-09-16,3.1,8603820,8603405,2763.0,2721.0,GM,GM,1/2-1/2
2019-09-16,3.1,4152956,14109603,2732.0,2760.0,GM,GM,1-0
2019-09-16,3.1,1202758,4102142,2656.0,2729.0,GM,GM,1/2-1/2
2019-09-16,3.1,1170546,4158814,2730.0,2741.0,GM,GM,1-0
2019-09-16,3.1,4135539,5007003,2671.0,2746.0,GM,GM,1-0
2019-09-17,3.2,8603677,12573981,2811.0,2702.0,GM,GM,1/2-1/2
2019-09-17,3.2,2047640,24116068,2707.0,2780.0,GM,GM,1/2-1/2
2019-09-17,3.2,623539,4122356,2774.0,2681.0,GM,GM,1/2-1/2
2019-09-17,3.2,5029465,5202213,2718.0,2767.0,GM,GM,1/2-1/2
2019-09-17,3.2,4168119,4147235,2776.0,2718.0,GM,GM,1/2-1/2
2019-09-17,3.2,4168003,13300474,2716.0,2758.0,GM,GM,0-1
2019-09-17,3.2,13401319,13402129,2767.0,2593.0,GM,GM,1/2-1/2
2019-09-17,3.2,8602883,3503240,2726.0,2763.0,GM,GM,1/2-1/2
2019-09-17,3.2,4126025,8608288,2759.0,2576.0,GM,GM,1-0
2019-09-17,3.2,24131423,13400924,2577.0,2758.0,GM,GM,1/2-1/2
2019-09-17,3.2,24101605,12401137,2746.0,2708.0,GM,GM,1/2-1/2
2019-09-17,3.2,8603405,8603820,2721.0,2763.0,GM,GM,1/2-1/2
2019-09-17,3.2,14109603,4152956,2760.0,2732.0,GM,GM,1/2-1/2
2019-09-17,3.2,4102142,1202758,2729.0,2656.0,GM,GM,1/2-1/2
2019-09-17,3.2,4158814,1170546,2741.0,2730.0,GM,GM,1/2-1/2
2019-09-17,3.2,5007003,4135539,2746.0,2671.0,GM,GM,0-1
2019-09-18,3.3,8603677,12573981,2811.0,2702.0,GM,GM,1-0
2019-09-18,3.3,2047640,24116068,2707.0,2780.0,GM,GM,1/2-1/2
2019-09-18,3.3,4122356,623539,2681.0,2774.0,GM,GM,1-0
2019-09-18,3.3,4147235,4168119,2718.0,2776.0,GM,GM,1/2-1/2
